hashtag;timestamp;cnt;followers_count;log_followers_count
goldmansachs;2018-06-07 17:00:00;6;10744;42.308569756607696
goldmansachs;2018-06-07 18:00:00;0;0;0.0
goldmansachs;2018-06-07 19:00:00;7;12168;50.315373119470436
goldmansachs;2018-06-07 20:00:00;3;19119;23.69018105832175
goldmansachs;2018-06-07 21:00:00;4;2730;24.886029123197684
goldmansachs;2018-06-07 22:00:00;1;1600;7.377758908227872
goldmansachs;2018-06-07 23:00:00;3;44351;22.23320543959059
goldmansachs;2018-06-08 00:00:00;2;677;10.534120827706829
goldmansachs;2018-06-08 01:00:00;0;0;0.0
goldmansachs;2018-06-08 02:00:00;0;0;0.0
goldmansachs;2018-06-08 03:00:00;2;926;9.45469731968959
goldmansachs;2018-06-08 04:00:00;1;50;3.912023005428147
goldmansachs;2018-06-08 05:00:00;2;119;7.986164860332726
goldmansachs;2018-06-08 06:00:00;3;27039;27.04963765389114
goldmansachs;2018-06-08 07:00:00;4;7163;27.90007599057727
goldmansachs;2018-06-08 08:00:00;3;45079;21.429524609669777
goldmansachs;2018-06-08 09:00:00;5;59196;41.35921794961512
goldmansachs;2018-06-08 10:00:00;2;5694;15.536492170709973
goldmansachs;2018-06-08 11:00:00;6;13239;41.61016158887158
goldmansachs;2018-06-08 12:00:00;13;58410;80.55564929846888
goldmansachs;2018-06-08 13:00:00;12;16921;69.51495692147216
goldmansachs;2018-06-08 14:00:00;9;13863;53.11685520248724
goldmansachs;2018-06-08 15:00:00;6;17659;43.8141543080828
goldmansachs;2018-06-08 16:00:00;6;29148;45.911325972621775
goldmansachs;2018-06-08 17:00:00;11;110270;80.370634769546
goldmansachs;2018-06-08 18:00:00;5;14553;37.33721800373813
goldmansachs;2018-06-08 19:00:00;10;168915;86.0828929161061
goldmansachs;2018-06-08 20:00:00;4;4057;25.117374103597204
goldmansachs;2018-06-08 21:00:00;11;11290;60.21850248215578
goldmansachs;2018-06-08 22:00:00;3;2291;18.30944620997902
goldmansachs;2018-06-08 23:00:00;0;0;0.0
goldmansachs;2018-06-09 00:00:00;10;58999;67.7132197610482
goldmansachs;2018-06-09 01:00:00;3;3034;19.326423327195908
goldmansachs;2018-06-09 02:00:00;3;2282;19.398069766150197
goldmansachs;2018-06-09 03:00:00;2;145;7.1098794630722715
goldmansachs;2018-06-09 04:00:00;1;18429;9.821680789832037
goldmansachs;2018-06-09 05:00:00;1;939;6.844815479208263
mcdonalds;2018-06-05 20:00:00;5;22556;30.618450665665154
mcdonalds;2018-06-05 21:00:00;17;105586;96.50503606181164
mcdonalds;2018-06-05 22:00:00;2;652;11.200294747154484
mcdonalds;2018-06-05 23:00:00;0;0;0.0
mcdonalds;2018-06-06 00:00:00;0;0;0.0
mcdonalds;2018-06-06 01:00:00;0;0;0.0
mcdonalds;2018-06-06 02:00:00;0;0;0.0
mcdonalds;2018-06-06 03:00:00;0;0;0.0
mcdonalds;2018-06-06 04:00:00;11;7998;52.865622811198236
mcdonalds;2018-06-06 05:00:00;7;5247;43.84622648086645
mcdonalds;2018-06-06 06:00:00;9;1966735;54.91796609289078
mcdonalds;2018-06-06 07:00:00;15;341435;98.68072109332826
mcdonalds;2018-06-06 08:00:00;19;28814;109.36419391182073
mcdonalds;2018-06-06 09:00:00;15;30006;80.78183782862708
mcdonalds;2018-06-06 10:00:00;24;135123;153.55415530722632
mcdonalds;2018-06-06 11:00:00;35;100665;202.64860283168787
mcdonalds;2018-06-06 12:00:00;20;19280;104.88803390575052
mcdonalds;2018-06-06 13:00:00;37;81554;200.17619816943755
mcdonalds;2018-06-06 14:00:00;24;426167;143.17766463165995
mcdonalds;2018-06-06 15:00:00;22;58451;125.65543905673796
mcdonalds;2018-06-06 16:00:00;28;99128;162.85961267013303
mcdonalds;2018-06-06 17:00:00;28;261609;169.53056018118744
mcdonalds;2018-06-06 18:00:00;22;12261;104.56121875578623
mcdonalds;2018-06-06 19:00:00;38;31794;176.6040646270301
mcdonalds;2018-06-06 20:00:00;45;104936;231.85797109741085
mcdonalds;2018-06-06 21:00:00;15;54726;72.13541864542503
mcdonalds;2018-06-06 22:00:00;18;8688;84.26179154033254
mcdonalds;2018-06-06 23:00:00;18;54087;80.87285257634117
mcdonalds;2018-06-07 00:00:00;17;32434;90.62797788664587
mcdonalds;2018-06-07 01:00:00;15;28606;85.01032665328722
mcdonalds;2018-06-07 02:00:00;22;30225;116.29870078195954
mcdonalds;2018-06-07 03:00:00;28;96352;135.24465257072208
mcdonalds;2018-06-07 04:00:00;15;13758;57.98653017417182
mcdonalds;2018-06-07 05:00:00;19;26497;98.42291828925057
mcdonalds;2018-06-07 06:00:00;26;53479;143.6200988338843
mcdonalds;2018-06-07 07:00:00;19;76067;109.90376375618655
mcdonalds;2018-06-07 08:00:00;16;20649;78.841847096866
mcdonalds;2018-06-07 09:00:00;13;29400;79.58193998034227
mcdonalds;2018-06-07 10:00:00;14;15433;80.01437576483457
mcdonalds;2018-06-07 11:00:00;21;37650;109.60217404123722
mcdonalds;2018-06-07 12:00:00;19;22575;105.60420881939011
mcdonalds;2018-06-07 13:00:00;20;18571;106.78290595261673
mcdonalds;2018-06-07 14:00:00;42;271069;296.45238454187097
mcdonalds;2018-06-07 15:00:00;97;547616;681.0559754976805
mcdonalds;2018-06-07 16:00:00;103;743108;719.8096827532333
mcdonalds;2018-06-07 17:00:00;97;390912;642.7085391932437
mcdonalds;2018-06-07 18:00:00;91;747165;620.187335706106
mcdonalds;2018-06-07 19:00:00;66;271805;418.2327003020681
mcdonalds;2018-06-07 20:00:00;59;684138;367.65060452064506
mcdonalds;2018-06-07 21:00:00;96;685572;587.4763435460987
mcdonalds;2018-06-07 22:00:00;95;274849;639.3821952992035
mcdonalds;2018-06-07 23:00:00;64;255267;407.5551941583918
mcdonalds;2018-06-08 00:00:00;43;79008;262.1274757815108
mcdonalds;2018-06-08 01:00:00;35;105303;222.49153494550663
mcdonalds;2018-06-08 02:00:00;19;330947;128.07501961045375
mcdonalds;2018-06-08 03:00:00;29;158657;174.95516142191764
mcdonalds;2018-06-08 04:00:00;28;60365;159.5563046267715
mcdonalds;2018-06-08 05:00:00;29;63367;130.43028958433945
mcdonalds;2018-06-08 06:00:00;22;82513;116.1513962783816
mcdonalds;2018-06-08 07:00:00;33;106085;196.5767877107224
mcdonalds;2018-06-08 08:00:00;21;16636;115.5113434783703
mcdonalds;2018-06-08 09:00:00;49;219767;336.8655158462901
mcdonalds;2018-06-08 10:00:00;47;136562;300.7344462106583
mcdonalds;2018-06-08 11:00:00;29;139222;173.89767956996965
mcdonalds;2018-06-08 12:00:00;28;36511;163.46391458454164
mcdonalds;2018-06-08 13:00:00;28;42319;174.303178456115
mcdonalds;2018-06-08 14:00:00;85;685407;605.3709920622049
mcdonalds;2018-06-08 15:00:00;37;295260;190.32516863350668
